Appl_Type~Appl_No~Product_No~Patent_No~Patent_Expire_Date_Text~Drug_Substance_Flag~Drug_Product_Flag~Patent_Use_Code~Delist_Flag
N~020475~001~5955109~Sep 21, 2016~~Y~U-134~
N~020475~002~5955109~Sep 21, 2016~~~U-134~
N~020500~001~6649659~Jul 10, 2016~Y~Y~U-69~
N~020519~001~7026337~Nov 21, 2016~~~U-714~
N~020552~001~6096339~Apr 4, 2017~~~U-365~
N~020552~002~6096339~Apr 4, 2017~~~U-365~
N~020571~001~6403569~Apr 28, 2020~~~U-449~
N~020571~001~6794370~May 1, 2020~~~U-606~
N~020571~002~6403569~Apr 28, 2020~~~U-449~
N~020571~002~6794370~May 1, 2020~~~U-606~
N~020592~001~6960577~Nov 1, 2017~~~U-963~
N~020592~002~6960577~Nov 1, 2017~~~U-963~
N~020592~003~6960577~Nov 1, 2017~~~U-963~
N~020592~004~6960577~Nov 1, 2017~~~U-963~
N~020592~005~6960577~Nov 1, 2017~~~U-963~
N~020592~006~6960577~Nov 1, 2017~~~U-963~
N~020610~001~7452872~Aug 24, 2026~~~U-141~
N~020610~001~7625884~Aug 24, 2026~~~U-141~
N~020625~001~6037353~Mar 14, 2017~~~U-138~
N~020629~001~6469015~Oct 22, 2019~~~U-501~
N~020629~001~6579981~Jun 17, 2020~~~U-501~
N~020667~001~6001861~Jan 16, 2018~~~U-784~
N~020667~001~6194445~Jan 16, 2018~~~U-784~
N~020667~002~6001861~Jan 16, 2018~~~U-784~
N~020667~002~6194445~Jan 16, 2018~~~U-784~
N~020667~003~6001861~Jan 16, 2018~~~U-784~
N~020667~003~6194445~Jan 16, 2018~~~U-784~
N~020667~005~6001861~Jan 16, 2018~~~U-784~
N~020667~005~6194445~Jan 16, 2018~~~U-784~
N~020667~006~6001861~Jan 16, 2018~~~U-784~
N~020667~006~6194445~Jan 16, 2018~~~U-784~
N~020667~007~6001861~Jan 16, 2018~~~U-784~
N~020667~007~6194445~Jan 16, 2018~~~U-784~
N~020685~001~6689761~Feb 10, 2021~~~U-554~
N~020685~003~6689761~Feb 10, 2021~~~U-554~
N~020685~005~6689761~Feb 10, 2021~~~U-554~
N~020685~006~6689761~Feb 10, 2021~~~U-554~
N~020699~001~6403120~Mar 20, 2017~~~U-535~
N~020699~001~6403120~Mar 20, 2017~~~U-451~
N~020699~001~6419958~Mar 20, 2017~~~U-535~
N~020699~001~6419958~Mar 20, 2017~~~U-459~
N~020699~002~6403120~Mar 20, 2017~~~U-535~
N~020699~002~6403120~Mar 20, 2017~~~U-451~
N~020699~002~6419958~Mar 20, 2017~~~U-535~
N~020699~002~6419958~Mar 20, 2017~~~U-459~
N~020699~003~6403120~Mar 20, 2017~~~U-535~
N~020699~003~6403120~Mar 20, 2017~~~U-451~
N~020699~003~6419958~Mar 20, 2017~~~U-535~
N~020699~003~6419958~Mar 20, 2017~~~U-459~
N~020699~004~6403120~Mar 20, 2017~~~U-535~
N~020699~004~6403120~Mar 20, 2017~~~U-451~
N~020699~004~6419958~Mar 20, 2017~~~U-535~
N~020699~004~6419958~Mar 20, 2017~~~U-459~
N~020710~001~6121291~Mar 17, 2017~~~U-431~
N~020710~001~6121291~Mar 17, 2017~~~U-286~
N~020719~001~5859037~Nov 13, 2017~~~U-251~
N~020719~001~6011049~Nov 13, 2017~~~U-301~
N~020719~002~5859037~Nov 13, 2017~~~U-251~
N~020719~002~6011049~Nov 13, 2017~~~U-301~
N~020719~003~5859037~Nov 13, 2017~~~U-251~
N~020719~003~6011049~Nov 13, 2017~~~U-301~
N~020723~001~7696159~Apr 1, 2024~Y~~U-1048~
N~020723~001~7696159~Apr 1, 2024~Y~~U-1047~
N~020727~001~6465463~Sep 8, 2020~~~U-71~
N~020727~001~6784177~Sep 8, 2020~~~U-71~
N~020746~001~6686346~Apr 29, 2017~~Y~U-557~Y
N~020746~001~6986904~Apr 29, 2017~~Y~U-699~Y
N~020746~002~6686346~Apr 29, 2017~~Y~U-557~
N~020746~002~6986904~Apr 29, 2017~~Y~U-699~
N~020785~001~6045501~Aug 28, 2018~~~U-731~
N~020785~001~6045501~Aug 28, 2018~~~U-371~
N~020785~001~6315720~Oct 23, 2020~~~U-731~
N~020785~001~6315720~Oct 23, 2020~~~U-442~
N~020785~001~6561976~Aug 28, 2018~~~U-731~
N~020785~001~6561976~Aug 28, 2018~~~U-371~
N~020785~001~6561977~Oct 23, 2020~~~U-731~
N~020785~001~6561977~Oct 23, 2020~~~U-371~
N~020785~001~6755784~Oct 23, 2020~~~U-371~
N~020785~001~6755784~Oct 23, 2020~~~U-731~
N~020785~001~6869399~Oct 23, 2020~~~U-371~
N~020785~001~6869399~Oct 23, 2020~~~U-733~
N~020785~001~6869399~Oct 23, 2020~~~U-732~
N~020785~001~6869399~Oct 23, 2020~~~U-731~
N~020785~001~6908432~Aug 28, 2018~~~U-731~
N~020785~001~6908432~Aug 28, 2018~~~U-371~
N~020785~001~7141018~Oct 23, 2020~~~U-733~
N~020785~001~7141018~Oct 23, 2020~~~U-732~
N~020785~001~7141018~Oct 23, 2020~~~U-731~
N~020785~001~7141018~Oct 23, 2020~~~U-371~
N~020785~001~7435745~Nov 3, 2017~~~U-899~
N~020785~001~7874984~Aug 28, 2018~~~U-1109~
N~020785~001~7874984~Aug 28, 2018~~~U-733~
N~020785~001~7874984~Aug 28, 2018~~~U-732~
N~020785~001~7874984~Aug 28, 2018~~~U-442~
N~020785~001~7874984~Aug 28, 2018~~~U-371~
N~020785~001~7959566~Oct 23, 2020~~~U-1155~
